Date,Open,High,Low,Close
1611685860000,1331.07000000,1335.43000000,1331.00000000,1335.13000000
1611685920000,1335.10000000,1337.00000000,1332.40000000,1334.71000000
1611685980000,1334.96000000,1335.99000000,1334.01000000,1334.68000000
1611686040000,1334.67000000,1336.31000000,1333.00000000,1335.90000000
1611686100000,1335.90000000,1337.73000000,1335.00000000,1337.30000000
1611686160000,1337.38000000,1337.80000000,1332.62000000,1333.81000000
1611686220000,1333.82000000,1334.68000000,1332.35000000,1332.38000000
1611686280000,1332.37000000,1333.92000000,1330.00000000,1330.78000000
1611686340000,1330.79000000,1332.98000000,1330.01000000,1330.01000000
1611686400000,1330.01000000,1333.50000000,1330.01000000,1331.43000000
1611686460000,1331.28000000,1331.90000000,1327.26000000,1327.55000000
1611686520000,1327.48000000,1328.97000000,1326.60000000,1327.38000000
1611686580000,1327.35000000,1333.43000000,1327.32000000,1332.04000000
1611686640000,1331.98000000,1332.25000000,1327.50000000,1329.65000000
1611686700000,1329.65000000,1330.99000000,1327.34000000,1327.84000000
1611686760000,1327.84000000,1328.62000000,1326.20000000,1328.04000000
1611686820000,1328.24000000,1332.50000000,1327.17000000,1331.13000000
1611686880000,1331.13000000,1331.67000000,1328.47000000,1329.47000000
1611686940000,1329.46000000,1331.35000000,1328.43000000,1328.86000000
1611687000000,1328.92000000,1331.42000000,1328.20000000,1328.26000000
1611687060000,1328.43000000,1330.89000000,1328.25000000,1329.54000000
1611687120000,1329.29000000,1329.98000000,1328.00000000,1328.73000000
1611687180000,1328.73000000,1329.47000000,1327.58000000,1328.61000000
1611687240000,1328.61000000,1328.61000000,1326.36000000,1326.74000000
1611687300000,1326.93000000,1327.94000000,1325.34000000,1326.01000000
1611687360000,1325.99000000,1326.84000000,1323.80000000,1324.34000000
1611687420000,1324.35000000,1328.62000000,1323.98000000,1327.81000000
1611687480000,1327.89000000,1336.04000000,1326.30000000,1334.94000000
1611687540000,1334.94000000,1337.57000000,1332.80000000,1332.82000000
1611687600000,1332.82000000,1337.65000000,1332.82000000,1337.29000000
1611687660000,1337.24000000,1339.92000000,1337.20000000,1339.25000000
1611687720000,1339.25000000,1343.64000000,1339.24000000,1343.21000000
